CAS	Chemical	Tc	C1	C2	C3	C4	Tmin	Tmax
75-07-0	Acetaldehyde  	466	38366	0.40081	0	0	150.15	466
60-35-5	Acetamide  	761	81070	0.42	0	0	353.15	761
64-19-7	Acetic acid  	591.95	40179	2.6037	-5.0031	2.7069	289.81	591.95
108-24-7	Acetic anhydride  	606	63520	0.3986	0	0	200.15	606
67-64-1	Acetone  	508.2	42150	0.3397	0	0	178.45	508.2
75-05-8	Acetonitrile  	545.5	43511	0.34765	0	0	229.32	545.5
74-86-2	Acetylene  	308.3	23214	0.35938	0	0	192.4	308.3
107-02-8	Acrolein  	506	38736	0.29335	0	0	185.45	506
79-10-7	Acrylic acid  	615	43756	2.2571	-4.5116	2.5738	286.15	615
107-13-1	Acrylonitrile  	535	41550	0.2733	0	0	189.63	535
132259-10-0	Air  	132.45	8474	0.3822	0	0	59.15	132.45
7664-41-7	Ammonia  	405.65	31523	0.3914	-0.2289	0.2309	195.41	405.65
100-66-3	Anisole  	645.6	58662	0.37127	0	0	235.65	645.6
7440-37-1	Argon  	150.86	8730.8	0.3526	0	0	83.78	150.86
55-21-0	Benzamide  	824	87809	0.1933	0.30877	-0.14162	403	824
71-43-2	Benzene  	562.05	45346	0.39053	0	0	278.68	562.05
108-98-5	Benzenethiol  	689	62250	0.4412	0	0	258.27	689
65-85-0	Benzoic acid  	751	101900	0.478	0	0	395.45	751
100-47-0	Benzonitrile  	699.35	68077	0.63344	-0.27365	0	260.4	699.35
119-61-9	Benzophenone  	830	105230	0.87091	-0.45568	0	321.35	830
100-51-6	Benzyl alcohol  	720.15	84762	0.35251	0.43853	-0.3026	257.85	720.15
539-30-0	Benzyl ethyl ether  	662	62280	0.3411	0	0	275.65	662
100-53-8	Benzyl mercaptan  	718	69642	0.44354	0	0	243.95	718
92-52-4	Biphenyl  	773	76350	0.39182	0	0	342.2	773
7726-95-6	Bromine  	584.15	40000	0.351	0	0	265.85	584.15
108-86-1	Bromobenzene  	670.15	55520	0.37694	0	0	242.43	670.15
74-96-4	Bromoethane  	503.8	39004	0.38012	0	0	154.55	503.8
74-83-9	Bromomethane  	467	31690	0.3015	0	0	179.47	467
590-19-2	1,2-Butadiene  	452	35220	0.395	0	0	136.95	452
106-99-0	1,3-Butadiene  	425	32632	0.3701	0	0	164.25	425
106-97-8	Butane  	425.12	36238	0.8337	-0.82274	0.39613	134.86	425.12
